pro_code,pro_title,category,qty,location,purchase,sale
6941196072768,Halloween Mask,festival,11,Store,238,475
6941196072751,Halloween Hat,festival,10,Store,350,701
6939837675362,Adoration Cushion BB Cream (Refill)2#Creamy White,Cosmetics,10,Store,1334,2667
6939837675348,Adoration Cushion BB Cream (Refill) 1# White,Cosmetics,9,Store,1334,2667
6939837675225,Adoration Matte Lipstick 3# Raspberry Color,Cosmetics,9,Store,784,1568
6939837675171,Collection Brightening Eyeliner-Black,Cosmetics,5,Store,859,1717
6939837675294,Adoration Eyeshadow 2# Flaxen,Cosmetics,8,Store,462,923
6939837675102,Collection Blusher 3# Coral Red,Cosmetics,5,Store,821,1641
6939837675386,Adoration Eyebrow Pencil 2# Brown,Cosmetics,2,Store,457,915
6939837675249,Adoration Matte Lipstick 5# Royal Red,Cosmetics,11,Store,784,1568
6923149021078,Peter Rabbit 10 Colors Eyeshadow Palette 2#,Cosmetics,12,Store,815,1630
6970517882090,Admire the soft purple lip glaze 3 # Cherry powder,Cosmetics,11,Store,574,1148
6923149021061,Peter Rabbit 10 Colors Eyeshadow Palette 1#,Cosmetics,12,Store,815,1630
6939837675065,Collection BB Cream 1# Ivory White,Cosmetics,10,Store,1295,2590
6970517882106,Admire the soft purple lip glaze 4 # Rose red,Cosmetics,9,Store,574,1148
6939837675324,Adoration Eyebrow Powder 2# Brown,Cosmetics,11,Store,466,933
6939837675270,Blossom Lipstick 8# Pepper Red,Cosmetics,11,Store,791,1582
6939837675096,Collection Blusher 2# Peach Pink,Cosmetics,12,Store,821,1641
6939837675089,Collection Blusher 1# Rose Pink,Cosmetics,12,Store,821,1641
6939837675072,Collection BB Cream 2# Natural Color,Cosmetics,11,Store,1295,2590
6939837675256,Adoration Matte Lipstick 6# Paris Red,Cosmetics,9,Store,784,1568
6939837675119,Collection Pressed Powder 1# Ivory White,Cosmetics,8,Store,1103,2207
6939837675126,Collection Pressed Powder 2# Natural Color,Cosmetics,6,Store,1103,2207
